DATE,USD3MTD156N
11/27/2020,0.22538
11/30/2020,0.22763
12/1/2020,0.232
12/2/2020,0.2305
12/3/2020,0.22538
12/4/2020,0.22588
12/7/2020,0.23038
12/8/2020,0.23
12/9/2020,0.22063
12/10/2020,0.2195
12/11/2020,0.2165
12/14/2020,0.21925
12/15/2020,0.22875
12/16/2020,0.23638
12/17/2020,0.23863
12/18/2020,0.23575
12/21/2020,0.24488
12/22/2020,0.23813
12/23/2020,0.251
12/24/2020,0.24013
